Name,Age,Math,Science,English
Samiksha Kadam,20,78.5,69.1,80.7
Omkar Bhosale,17,82.7,83.6,89.6
Priya Mali,22,47.5,69.2,59.3
Shreyas Kulkarni,20,71.6,68.8,67.4
Gauri Joshi,18,61.8,74.6,68.9
Neha Kamble,19,61.9,51.7,55.5
Samiksha Chavan,20,87.8,92.2,83.7
Aditi Kulkarni,19,83.7,94.8,88.7
Shreyas Jain,19,78.5,72.3,73.8
Vaishnavi Kamble,19,78.1,95.2,82.8
Ayaan More,18,95.0,88.5,79.5
Madhura Gupta,19,72.3,85.1,93.2
Ayaan Bhosale,18,82.9,86.2,88.1
Madhura Gaikwad,19,73.6,71.1,82.0
Raj Joshi,22,85.9,88.3,75.4
Pranav Deshmukh,22,55.7,62.7,49.4
Siddharth Jain,19,60.2,72.8,72.6
Yash Patil,22,67.1,66.4,62.8
Ananya Shinde,17,60.7,63.3,51.1
Rohan Pawar,21,76.4,49.1,77.9
Akash Bhosale,17,87.4,69.9,73.3
Saurabh Shinde,17,65.0,72.4,71.1
Tanvi Mali,17,89.8,96.3,80.5
Sanjana Patil,18,68.7,76.2,63.9
Shreyas Sharma,18,80.0,62.7,78.7
Kunal Sharma,19,75.1,80.6,86.5
Madhura patil,17,58.7,74.5,62.4
Tanvi Jadhav,18,59.4,65.3,67.7
Saurabh Shinde,20,88.9,83.7,94.1
Akash Gupta,19,80.0,76.0,76.6
Aarya Gupta,18,75.7,76.1,86.6
Rahul More,19,69.9,69.1,75.7
Rahul Kulkarni,19,61.0,66.0,71.4
Sakshi Mali,17,92.1,100.0,85.1
Shruti Bhosale,20,71.5,49.0,71.2
Rohan Bhosale,21,88.8,81.3,79.5
Atharva Gaikwad,18,89.9,82.4,76.7
Priya Kadam,22,100.0,100.0,80.1
Gauri Bhosale,17,94.7,64.4,70.4
Rahul Chavan,20,93.7,98.4,76.8
Kavya Kadam,17,88.6,74.0,92.3
Riya Bhosale,18,69.2,72.6,80.0
Atharva Kukade,17,99.9,91.3,100.0
Rahul Jain,21,80.0,84.5,75.3
Rudra Joshi,21,71.4,70.2,70.3
Sneha Sawant,17,80.0,96.0,80.4
Aarav Deshmukh,22,80.8,76.6,93.2
Atharva Patil,19,71.1,64.2,63.0
Vivaan Kukade,21,87.5,100.0,94.3
Shreyas Sawant,21,93.4,80.2,80.6
Neha Jadhav,20,55.5,54.5,46.4
Ishita Gaikwad,20,60.1,55.4,54.4
Neha More,21,81.0,85.2,80.6
Riya Verma,18,84.4,73.0,72.6
Siddharth Gaikwad,22,89.4,85.9,65.4
Aarya Deshmukh,18,75.5,80.5,72.6
Akash Sharma,21,93.8,100.0,94.9
Ishita Sawant,22,99.8,91.2,82.5
Yash Gupta,19,83.0,90.5,93.7
Akash More,17,92.8,86.6,99.9
Aarav Chavan,22,66.1,74.6,76.6
Prachi Kadam,17,81.2,78.0,77.9
Sanjana Kukade,20,63.4,64.6,77.3
Arjun Patil,21,81.0,95.7,75.3
Akash Shinde,19,77.6,75.2,74.8
Vivaan Kulkarni,22,98.9,84.4,75.4
Pooja Mali,18,80.2,81.6,83.5
Kavya Verma,20,72.4,79.6,74.9
Shreyas Gupta,17,68.8,77.1,80.6
Priya Sawant,22,82.4,70.9,89.9
Ishita Mali,21,45.6,45.7,59.1
Yash Patil,19,100.0,100.0,90.0
Prachi Kukade,18,60.5,78.0,63.4
Sneha Joshi,20,73.9,71.9,71.9
Madhura Gaikwad,20,66.7,74.5,63.2
Atharva Joshi,18,43.5,42.8,48.6
Kavya Joshi,22,83.2,76.1,93.3
Rohan Chavan,18,64.4,78.4,78.2
Tanvi Kukade,22,74.5,60.0,77.0
Rohan Kulkarni,22,67.3,59.8,56.7
Madhura Deshmukh,20,54.3,55.4,76.0
Pooja Gupta,21,74.4,71.6,71.8
Vaishnavi Bhosale,18,82.9,100.0,97.3
Aditi Verma,17,100.0,86.3,95.3
Aarya Kadam,21,90.3,94.0,76.6
Pooja Bhosale,20,59.2,72.2,66.8
Pooja Shinde,20,72.7,79.6,73.6
Priya Mali,17,95.6,81.2,84.3
Omkar Verma,19,63.7,57.3,64.1
Priya Gupta,21,64.6,53.4,56.7
Shruti Jadhav,21,66.4,59.3,68.2
Sneha Jadhav,17,81.6,100.0,89.2
Kunal More,19,90.4,90.6,88.9
Shruti Mali,20,64.5,74.5,71.8
Priya More,22,76.4,54.2,62.2
Shruti Chavan,18,96.9,77.8,93.8
Aditi Patil,21,87.3,86.6,87.6
Sanjana Mali,19,94.2,99.4,81.0
Sanjana Mali,18,75.0,91.4,77.0
Shruti Gupta,18,67.6,63.0,74.3
Aarav Kukade,20,94.6,98.8,98.7
Madhura Jain,18,66.3,72.2,64.7
Yash Patil,21,85.2,75.6,91.6
Aarav Kukade,18,64.2,61.9,63.2
Sneha Joshi,20,59.7,61.4,72.1
Sneha Pawar,17,68.1,68.5,71.2
Prachi Verma,22,75.9,79.4,79.3
Neha Shinde,19,83.2,100.0,100.0
Rohan Kukade,19,48.4,62.9,71.2
Riya Joshi,18,60.4,74.3,63.6
Yash Chavan,21,89.6,78.8,88.4
Atharva Jain,21,79.5,65.5,64.3
Gauri More,22,77.9,78.8,61.6
Aditi Bhosale,21,66.4,42.6,73.8
Sneha Mali,21,67.5,79.2,71.9
Vaishnavi Kadam,17,88.3,97.3,95.1
Rohan Mali,22,54.8,55.3,70.8
Ishita Patil,22,52.3,73.8,60.6
Siddharth Shinde,19,60.4,66.0,69.4
Rahul Kadam,22,82.0,74.9,81.9
Vivaan Jain,22,78.2,63.5,75.4
Atharva Shinde,21,94.8,89.6,98.3
Pooja Jadhav,22,64.1,84.8,72.5
Aarav Kukade,21,73.0,60.1,76.8
Shruti Gaikwad,22,69.2,69.8,65.8
Sneha Sharma,18,71.8,70.7,78.9
Sakshi More,21,63.9,59.8,68.4
Ayaan Mali,21,46.2,68.4,63.3
Rohan Patil,21,85.3,80.4,78.3
Aarya Joshi,19,70.6,64.7,61.2
Atharva Jain,17,91.8,83.8,90.1
Aditya Bhosale,22,79.8,74.0,86.5
Rudra Kukade,22,84.4,74.9,86.0
Kunal Gaikwad,17,71.7,75.5,90.8
Kavya More,17,85.5,77.2,93.8
Aarya Sawant,21,74.9,71.8,91.7
Prachi Sharma,19,96.4,71.9,67.7
Samiksha Sharma,17,68.7,71.8,78.5
Siddharth Jadhav,21,86.8,88.1,72.5
Shruti Sawant,17,72.0,49.0,73.0
Neha Sharma,19,80.8,75.6,93.9
Ishita Bhosale,20,52.2,75.1,69.0
Raj Deshmukh,20,81.0,71.7,88.1
Rudra Bhosale,20,71.0,84.5,68.4
Shruti Kadam,21,86.5,58.5,80.1
Vaishnavi Gaikwad,17,76.0,88.9,77.3
Atharva Kukade,22,84.7,97.3,92.8
Nikhil Gupta,19,70.5,59.8,61.7
Shreyas Kulkarni,19,90.5,91.6,97.3
Sanjana Jain,17,96.7,87.5,86.0
Rohan Shinde,22,68.3,79.1,78.7
Pooja Deshmukh,17,82.3,89.4,93.1
Pranav Kulkarni,19,75.9,72.6,64.1
Riya Patil,20,90.6,75.2,96.8
Shruti Kadam,22,100.0,88.4,90.9
Madhura Jadhav,17,98.7,76.4,85.3
Saurabh Gaikwad,17,76.8,77.0,79.4
Samiksha Patil,20,88.1,82.4,92.2
Neha Shinde,17,71.0,63.5,72.8
Vivaan Patil,20,93.3,85.6,89.1
Siddharth Pawar,22,59.2,66.9,76.2
Gauri Deshmukh,21,72.7,66.5,60.7
Sakshi Jadhav,22,52.5,46.4,69.4
Ishita Bhosale,17,81.0,63.5,68.7
Omkar Verma,21,55.4,57.6,63.3
Aditya Kadam,20,72.9,68.2,57.7
Yash Jain,18,63.7,80.8,74.7
Vivaan Kulkarni,22,90.6,96.4,85.5
Saurabh Jain,19,84.8,84.8,75.0
Nikhil Gaikwad,19,51.2,54.3,47.3
Akash Bhosale,17,72.2,61.9,70.8
Akash Kukade,20,56.4,60.2,57.1
Kunal Gaikwad,18,83.6,100.0,88.1
Vedant Kulkarni,22,71.0,87.3,81.5
Ishita Verma,20,97.0,83.8,69.1
Nikhil Sharma,21,54.9,71.7,65.4
Pranav Patil,20,100.0,97.8,100.0
Raj More,19,62.8,63.0,73.4
